_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
175,1974960,16152026,42,M,W,2016-08-14T16:30:00,"Regina ST Pittsburgh, PA 15203",9501 Bench Warrant / 3503 Criminal Trespass / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"Regina ST Pittsburgh, PA 15203",South Side Slopes,3,1706,3,3,-79.98552804,40.42286976
176,1974785,16152126,21,M,W,2016-08-14T19:40:00,"6200 Block Penn AV Pittsburgh, PA 15206","903 Criminal Conspiracy. / 907 Possessing Instruments of Crime. / 3925 Receiving Stolen Property. / 9501 Bench Warrant / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","6200 Block Penn AV Pittsburgh, PA 15206",East Liberty,5,1115,8,2,-79.92271679,40.46059432
177,1974975,16155247,24,F,W,2016-08-19T08:41:00,"1100 Block Brownsville RD Pittsburgh, PA 15210","9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","1100 Block Brownsville RD Pittsburgh, PA 15210",Carrick,3,2902,4,3,-79.99089923,40.40493936
178,1974981,16152930,29,M,B,2016-08-16T02:33:00,"700 Block Mt Pleasant RD Pittsburgh, PA 15214",2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5121 Escape. / 5503 Disorderly Conduct. / 5505 Public Drunkenness / 601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"700 Block Mt Pleasant RD Pittsburgh, PA 15214",Northview Heights,1,2609,1,1,-79.99823793,40.47599179
179,1975146,16055653,22,M,B,2016-09-10T17:10:00,"900 Block Second AV Pittsburgh, PA 15219",4106 Access Device Fraud,"300 Block Bailey AV Pittsburgh, PA 15211",Mount Washington,3,1807,3,5,-80.00244888,40.42675878
180,1975156,16131235,37,M,W,2016-09-09T14:43:00,"1800 Block Morningside AV Pittsburgh, PA 15206",2702 Aggravated Assault. / 2706 Terroristic Threats.,"300 Block Pearl ST Pittsburgh, PA 15224",Bloomfield,5,802,7,2,-79.94995072,40.46209972
181,1975296,16161651,41,F,B,2016-08-28T02:34:00,"S 17th ST & E Carson ST Pittsburgh, PA 15203",5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 13(a)(31) Marijuana: Possession Small Amount / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"S 17th ST & E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98204758,40.42883493
182,1974516,16146308,32,M,W,2016-08-06T15:58:00,"200 Block Bon Air AV Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance / 3802(d)(1)(ii) DUI - Controlled Substance - Schedule II or III,"200 Block Bon Air AV Pittsburgh, PA 15210",Bon Air,3,1806,4,5,-80.00230997,40.4107603
183,1974583,16146595,27,F,B,2016-08-08T15:20:00,"600 Block 1st AV Pittsburgh, PA 15219",13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"200 Block Atwood ST Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.95688887,40.44042041
184,1975151,16135825,51,M,B,2016-09-09T20:20:00,"900 Block 2ND AV Pittsburgh, PA 15219",4915 Failure to Comply with Megans Law,"800 Block Montooth ST Pittsburgh, PA 15210",Beltzhoover,3,1809,3,5,-80.00591121,40.41555614
185,1974969,16146062,20,M,B,2016-09-06T13:03:00,"800 Block Greentree RD Pittsburgh, PA 15220",2702 Aggravated Assault.,"Centre AV & Crawford ST Pittsburgh, PA 15219",Golden Triangle/Civic Arena,2,201,6,6,-79.9860099,40.44102964
186,1974973,16144986,60,M,W,2016-09-07T18:30:00,"600 Block 1ST AV Pittsburgh, PA 15219",3736 Reckless Driving / 3743 Accidents Involving Damage to Attended Veh. or Property,"16th ST & Liberty AV Pittsburgh, PA 15222",Strip District,2,203,7,6,-79.98688987,40.44822122
187,1974606,16148475,31,M,B,2016-08-22T06:45:00,"3000 Block Railroad ST Pittsburgh, PA 15201",2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person.,"3200 Block Stafford ST Pittsburgh, PA 15204",Sheraden,6,2018,2,5,-80.05301127,40.45912828
188,1974612,16148538,25,M,B,2016-08-09T19:11:00,"200 Block Reifert ST Pittsburgh, PA 15210",2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement.,"200 Block Reifert ST Pittsburgh, PA 15210",Knoxville,3,3001,3,5,-79.9921469,40.40808736
189,1974616,16148671,28,M,W,2016-08-09T23:15:00,"General Robinson ST W & Mazeroski WY Pittsburgh, PA 15212",1501 Drivers Required to be Licensed. / 3742 Accidents Involving Death or Personal Injury,"General Robinson ST & Mazeroski WY Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.00764779,40.44768921
190,1974619,16126304,51,F,W,2016-08-25T08:30:00,"600 Block 1st AV Pittsburgh, PA 15219",4304(a)(1) Endangering Welfare of Children.,"1000 Block Adon ST Pittsburgh, PA 15204",Sheraden,6,2018,2,5,-80.06082768,40.45376984
191,1974622,16127194,,M,B,2016-08-24T07:37:00,Zone 1,2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 2902 Unlawful Restraint. / 3121 Rape. / 3124.1 Sexual Assault / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3123(a)(1) IDSI by forcible compulsion / 3126(a)(1) Indecent assault without consent,Zone 1,,1,,,,,
192,1974654,16149553,45,F,W,2016-08-11T08:56:00,"40 Block Maytide ST Pittsburgh, PA 15227",2701 Simple Assault.,"40 Block Maytide ST Pittsburgh, PA 15227",Carrick,3,2904,4,3,-79.97988396,40.38445001
193,1974657,16149572,40,F,W,2016-08-11T08:21:00,"Coral ST & S Pacific AV Pittsburgh, PA 15224",5902(a)(1) Prostitution  / 13(a)(16) Possession of Controlled Substance / 5902(a)(2) Prostitution - Loitering for purpose of,"Coral ST & S Pacific AV Pittsburgh, PA 15224",Bloomfield,5,806,7,2,-79.94012612,40.46393543
194,1974675,16157882,15,M,B,2016-08-23T00:43:00,"2400 Block Shady AV Pittsburgh, PA 15217",3925 Receiving Stolen Property. / 5506 Loitering and Prowling at Night / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"2300 Block Sherbrook ST Pittsburgh, PA 15217",Squirrel Hill South,4,1408,5,3,-79.92170208,40.43146467
195,1974679,16159265,16,M,B,2016-08-24T21:42:00,"Centre AV & Vera Cruz WY Pittsburgh, PA 15219",5105 Hindering Apprehension or Prosecution. / 5107 Aiding Consummation of Crime. / 5121 Escape. / 4914 False Identification to Law Enforcement Authorities,"Centre AV & Vera Cruz WY Pittsburgh, PA 15219",Middle Hill,2,501,6,3,-79.9746313,40.44521222
196,1975131,16159744,48,M,W,2016-08-25T16:30:00,"4000 Block Haldane ST Pittsburgh, PA 15207","2706 Terroristic Threats. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","4000 Block Haldane ST Pittsburgh, PA 15207",Greenfield,4,1516,5,3,-79.94328155,40.42531897
197,1975468,16164848,10,M,O,2016-09-01T18:10:00,"1000 Block Uvilla ST Pittsburgh, PA 15220",903 Criminal Conspiracy. / 3502 Burglary.,"1000 Block Chartiers AV Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.0406073,40.44420027
198,1974733,16148376,20,M,B,2016-08-09T15:46:00,"300 Block Cedar AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30)* Delivery of Controlled Substance,"300 Block Cedar AV Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00084389,40.45089272
199,1974759,16148861,35,M,W,2016-08-10T09:48:00,"Liberty Brg RAMP & Liberty BRDG Pittsburgh, PA 15219",5507 Obstructing Highways and Passages. / 602.04(b)(2) Aggressive Panhandling,"Liberty Brg RAMP & Liberty BRDG Pittsburgh, PA 15219",Bluff,2,103,,,,
200,1974815,16153150,22,F,W,2016-08-16T11:39:00,"2000 Block Wharton ST Pittsburgh, PA 15203",9501 Bench Warrant,"2000 Block Wharton ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.97681333,40.43002082
201,1974824,16153268,43,F,W,2016-08-16T15:27:00,"800 Block Freeport RD Pittsburgh, PA 15215",3929 Retail Theft.,"800 Block Freeport RD Pittsburgh, PA 15215",Lincoln-Lemington-Belmar,5,1201,9,2,-79.89761421,40.48782354
202,1974832,16153306,37,F,W,2016-08-16T15:12:00,"300 Block Cedar AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30)* Delivery of Controlled Substance,"300 Block Cedar AV Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00084389,40.45089272
203,1974721,16147043,49,M,W,2016-08-07T18:10:00,"S 25th ST & Jane ST Pittsburgh, PA 15203",3701 Robbery.,"S 25th ST & Jane ST Pittsburgh, PA 15203",South Side Flats,3,1609,3,3,-79.97060868,40.42613511
204,1974820,16152213,47,M,H,2016-08-20T02:55:00,"600 Block 1st AV Pittsburgh, PA 15219",5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,"300 Block N Shore DR Pittsburgh, PA 15233",Chateau,1,2108,1,6,-80.01179547,40.44576994
205,1975126,16156909,32,M,B,2016-08-21T16:00:00,"Market PL & Graeme ST Pittsburgh, PA 15222",5505 Public Drunkenness / 5507 Obstructing Highways and Passages. / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,"Market PL & Graeme ST Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-80.00277711,40.44108292
206,1975087,16156770,29,M,B,2016-08-21T10:38:00,"6200 Block Penn AV Pittsburgh, PA 15206",2701 Simple Assault. / 3929 Retail Theft. / 13(a)(32) Paraphernalia - Use or Possession / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"6200 Block Penn AV Pittsburgh, PA 15206",East Liberty,5,1115,8,2,-79.92271679,40.46059432
207,1975207,16160761,36,M,B,2016-08-26T22:19:00,"Mt Vernon ST & Sterrett ST Pittsburgh, PA 15208",4304(a)(1) Endangering Welfare of Children. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3323 Stop Signs and Yield Signs. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant / 3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving,"7200 Block Upland ST Pittsburgh, PA 15206",Homewood North,5,1301,9,2,-79.89454512,40.46177811
208,1974491,16145065,,F,B,2016-08-04T20:35:00,"1800 Block Bedford AV Pittsburgh, PA 15219",4910 Tampering with or Fabricating Physical Evidence. / 5503 Disorderly Conduct.,"1800 Block Bedford AV Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.98540111,40.44517821
209,1975387,16136029,47,M,W,2016-08-26T11:30:00,"600 Block 1st AV Pittsburgh, PA 15219",3925 Receiving Stolen Property.,"3400 Block Ridgeway ST Pittsburgh, PA 15213",Polish Hill,2,605,6,3,-79.96179715,40.45641767
210,1975513,16166811,17,F,B,2016-09-20T14:20:00,"600 Block 1ST AV Pittsburgh, PA 15219",1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility. / 3743 Accidents Involving Damage to Attended Veh. or Property,"Steuben ST & Chartiers AV Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.03806683,40.44119686
211,1974562,16147102,21,M,W,2016-08-16T13:00:00,Zone 2,5505 Public Drunkenness / 5901 Open Lewdness. / 3127(a) Indecent exposure,Zone 3,,3,,,,,
212,1974951,16082035,40,M,H,2016-09-06T08:00:00,"100 Block Kirk AV Pittsburgh, PA 15210",4915 Failure to Comply with Megans Law,"100 Block Kirk AV Pittsburgh, PA 15210",Carrick,3,2904,4,3,-79.97825424,40.38589174
213,1974962,16130025,25,M,B,2016-09-06T20:51:00,"1800 Block Centre AV Pittsburgh, PA 15219",2702 Aggravated Assault.,"Watson ST & Chatham SQ Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.99098782,40.43836444
214,1974943,16154332,22,M,B,2016-08-24T04:27:00,"600 Block 1st AV Pittsburgh, PA 15219",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"2100 Block Mazette PL Pittsburgh, PA 15205",Fairywood,6,2808,2,5,-80.08450333,40.44605158
215,1975302,16160440,27,M,B,2016-08-26T13:14:00,"6900 Block Chaucer ST Pittsburgh, PA 15208",13(a)(31) Marijuana: Possession Small Amount,"6900 Block Chaucer ST Pittsburgh, PA 15208",Homewood North,5,1301,9,2,-79.90057853,40.46404145
216,1974816,16147733,53,F,B,2016-08-08T18:10:00,"300 Block 6th AV Pittsburgh, PA 15222",3929 Retail Theft.,"300 Block 6th AV Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-79.99945175,40.44165074
217,1974539,16145194,49,M,W,2016-08-05T00:30:00,"200 Block Suncrest ST Pittsburgh, PA 15210",2701 Simple Assault.,"200 Block Suncrest ST Pittsburgh, PA 15210",Knoxville,3,3001,,,-79.99037609,40.41035674
218,1974600,16145985,37,M,W,2016-08-06T01:42:00,"1700 Block E Carson ST Pittsburgh, PA 15203","5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5507(a) Obstructing highway, railroad or public passage","1700 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98186901,40.4285852
219,1974602,16145992,23,M,W,2016-08-06T01:45:00,"S 15th ST & Roland ST Pittsburgh, PA 15203",5104 Resisting Arrest or Other Law Enforcement. / 5121 Escape. / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"S 15th ST & E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98342493,40.42881518
220,1974611,16146068,24,M,W,2016-08-06T04:45:00,"1000 Block E Carson ST Pittsburgh, PA 15203",2706 Terroristic Threats. / 5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"1000 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,2,5,-80.02039221,40.44091666
221,1974653,16147076,16,M,B,2016-08-07T20:00:00,"6th ST & Penn AV Pittsburgh, PA 15222",2706 Terroristic Threats. / 5121 Escape. / 5501 Riot. / 4914(A) False Identification to Law Enforcement,"6th ST & Penn AV Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-80.00214966,40.442742
222,1974691,16149649,27,F,B,2016-08-11T09:44:00,"Hamilton AV & Zenith WY Pittsburgh, PA 15208",5902(a)(1) Prostitution  / 5902(a)(2) Prostitution - Loitering for purpose of,"Hamilton AV & Zenith WY Pittsburgh, PA 15208",Homewood South,5,1303,9,2,-79.89706097,40.45452207
223,1974827,16144757,26,F,W,2016-08-04T12:46:00,"300 Block Cedar AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,"300 Block Cedar AV Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00084389,40.45089272
224,1974937,16153950,19,F,B,2016-08-17T13:30:00,"50 Block S 16th ST Pittsburgh, PA 15203","2706 Terroristic Threats. / 5503 Disorderly Conduct. / 5505 Public Drunkenness / 6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 9093 Indirect Criminal Contempt","50 Block S 16th ST Pittsburgh, PA 15203",South Side Flats,3,1702,7,6,-79.98782799,40.44901784
225,1974938,16154015,50,F,B,2016-08-17T17:22:00,"Middle ST & Knoll ST Pittsburgh, PA 15212",4910 Tampering with or Fabricating Physical Evidence. / 13(a)(32) Paraphernalia - Use or Possession,"Middle ST & Knoll ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00040315,40.45764086
226,1974939,16154022,39,M,B,2016-08-17T15:20:00,"400 Block Avery ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,"400 Block Avery ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00131232,40.45280701
227,1974481,16144224,19,M,B,2016-08-03T17:26:00,"Sandusky CT Pittsburgh, PA 15212",903 Criminal Conspiracy. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"Sandusky CT Pittsburgh, PA 15212",Fineview,1,2509,,,,
228,1974482,16144224,23,M,B,2016-08-03T17:26:00,"Sandusky CT Pittsburgh, PA 15212",903 Criminal Conspiracy. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"Sandusky CT Pittsburgh, PA 15212",Fineview,1,2509,,,,
229,1974573,16147299,44,F,B,2016-08-08T02:45:00,"Three Rivers Heritage TRL Pittsburgh, PA 15219",13(a)(31) Marijuana: Possession Small Amount / 473.07 (a) Hours of Parks 0600-2300 hrs.,"Three Rivers Heritage TRL Pittsburgh, PA 15219",South Side Flats,3,1702,,,,
230,1974576,16147311,34,M,W,2016-08-08T02:58:00,"Greentree RD & Mc Knight ST Pittsburgh, PA 15220",3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,"Greentree RD & Mc Knight ST Pittsburgh, PA 15220",West End,6,2019,2,5,-80.03387785,40.43537738
231,1974585,16147448,18,M,B,2016-08-07T22:08:00,"600 Block Liberty AV Pittsburgh, PA 15222",5503 Disorderly Conduct. / 627.02(b) Possession or Smoking of a Small Amount of Marijuana,"Liberty AV & Market ST Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-80.0017944,40.44192378
232,1975009,16154566,27,M,B,2016-08-18T10:50:00,"Market PL & Forbes AV Pittsburgh, PA 15222",3701 Robbery. / 4952 Intimidation of Witnesses or Victims,"Market PL & Forbes AV Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-80.00218991,40.44058363
233,1975139,16160913,51,F,W,2016-08-27T02:04:00,"Middle ST & Suismon ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"Middle ST & Suismon ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.999646,40.45536416
234,1975176,16158664,15,M,B,2016-09-02T19:05:00,"2100 Block Bedford AV Pittsburgh, PA 15219",3701 Robbery. / 13(a)(16) Possession of Controlled Substance,"Miller ST & Colwell ST Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.98206592,40.43911032
235,1974639,16103338,29,M,B,2016-08-27T00:44:00,"1600 Block Sandusky CT Pittsburgh, PA 15212","3701 Robbery. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3503.B1II DEF. TRESPASS POSTED","1600 Block Sandusky CT Pittsburgh, PA 15212",Fineview,1,2509,6,1,-80.00544754,40.45893258
236,1975337,16162220,54,M,W,2016-08-29T03:25:00,"300 Block E North AV Pittsburgh, PA 15212",3213 Prohibited Acts. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"300 Block E North AV Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00964027,40.45494869
237,1975344,16162270,55,M,B,2016-08-29T06:45:00,"5500 Block Centre AV Pittsburgh, PA 15232","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","5500 Block Centre AV Pittsburgh, PA 15232",Shadyside,4,709,7,2,-79.93643514,40.45663345
238,1975402,16164248,26,M,W,2016-08-31T20:45:00,"North Commons Pittsburgh, PA 15212",2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,"North Commons Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00560271,40.45398082
239,1975404,16164262,23,M,B,2016-08-31T20:52:00,"Guyman WY & Beltzhoover AV Pittsburgh, PA 15210",13(a)(31) Marijuana: Possession Small Amount,"Guyman WY & Beltzhoover AV Pittsburgh, PA 15210",Allentown,3,1803,3,5,-79.99741294,40.422042
240,1975406,16164262,19,M,B,2016-08-31T20:52:00,"Guyman WY & Beltzhoover AV Pittsburgh, PA 15210",9501 Bench Warrant,"Guyman WY & Beltzhoover AV Pittsburgh, PA 15210",Allentown,3,1803,3,5,-79.99741294,40.422042
241,1974650,16140274,69,M,W,2016-08-28T16:07:00,"1300 Block Denise ST Pittsburgh, PA 15210",2709.1 Stalking Conduct or Repeatedly Acts Including Follows / 2709.A3 HARASSMENT - COURSE OF CONDUCT W/NO LEGIT. PURPOSE,"1300 Block Denise ST Pittsburgh, PA 15210",Carrick,3,2901,4,3,-79.99881764,40.39888311
242,1974681,16147975,25,M,U,2016-08-09T01:11:00,"300 Block West Penn PL Pittsburgh, PA 15224",2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5505 Public Drunkenness,"300 Block West Penn PL Pittsburgh, PA 15224",Bloomfield,5,806,1,1,-80.00964027,40.45494869
243,1975418,16159147,30,M,B,2016-09-05T21:08:00,"3600 Block Brownsville RD Pittsburgh, PA 15210",903 Criminal Conspiracy. / 3701 Robbery.,"General Robinson ST & Tony Dorsett DR Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.01030287,40.44727154
244,1975419,16159147,53,M,B,2016-09-14T11:40:00,"600 Block First AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 3701 Robbery.,"General Robinson ST & Tony Dorsett DR Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.01030287,40.44727154
245,1975428,16158560,24,F,B,2016-08-23T23:48:00,"600 Block Hillsboro ST Pittsburgh, PA 15204","908 Prohibited Offensive Weapons. / 4914 False Identification to Law Enforcement Authorities / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older / 3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants)","600 Block Hillsboro ST Pittsburgh, PA 15204",Sheraden,6,2018,2,5,-80.05278859,40.45382839
246,1975437,16120855,39,F,U,2016-07-11T15:00:00,"900 Block 2nd AV Pittsburgh, PA 15219",2701 Simple Assault.,"2600 Block Brownsville RD Pittsburgh, PA 15227",Carrick,3,2904,4,3,-79.97880106,40.38544231
247,1974705,16150001,52,M,W,2016-08-11T19:25:00,"300 Block N Millvale AV Pittsburgh, PA 15224","5505 Public Drunkenness / 3503 Criminal Trespass / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means","300 Block N Millvale AV Pittsburgh, PA 15224",Garfield,5,1017,9,2,-79.94473944,40.46714149
248,1974715,16144571,51,M,W,2016-08-04T06:19:00,"50 Block 11th ST Pittsburgh, PA 15222",3503 Criminal Trespass / 3503(b.1)(i) Simple Trespasser -- threatening or terrorizing the owner or occupant of the premises,"50 Block 11th ST Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,3,3,-79.98767223,40.42895953
249,1974756,16150983,33,M,W,2016-08-13T03:00:00,"Saw Mill Run BL & Wabash ST Pittsburgh, PA 15220",3714 Careless Driving / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%,"Saw Mill Run BL & Wabash ST Pittsburgh, PA 15220",West End,3,2019,,,,
250,1974762,16151361,58,M,W,2016-08-13T16:00:00,"300 Block Forbes AV Pittsburgh, PA 15222",2701 Simple Assault. / 2706 Terroristic Threats. / 2709.A3 HARASSMENT - COURSE OF CONDUCT W/NO LEGIT. PURPOSE / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"300 Block Forbes AV Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-80.00080542,40.4400202
251,1974788,16149255,27,M,B,2016-08-27T03:15:00,"600 Block 1st AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 2701 Simple Assault.,"300 Block Suncrest ST Pittsburgh, PA 15210",Knoxville,3,3001,3,5,-79.99322262,40.41055218
252,1974790,14247540,38,F,B,2016-08-31T13:30:00,"900 Block 2ND AV Pittsburgh, PA 15219",2701(a)(3) Simple Assault - Attempts by Physical Menace ,"2100 Block Centre AV Pittsburgh, PA 15219",Golden Triangle/Civic Arena,2,201,6,3,-79.9789234,40.44439518
253,1974796,16105426,20,M,B,2016-08-31T11:59:00,"1000 Block Fairdale ST Pittsburgh, PA 15204","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3921(a) Theft by Unlawful Taking or Disposition - Movable item","1100 Block Fairdale ST Pittsburgh, PA 15204",Sheraden,6,2022,2,5,-80.06213679,40.45492384
254,1974799,16141919,38,M,W,2016-08-30T11:00:00,"900 Block 2nd AV Pittsburgh, PA 15219",4915 Failure to Comply with Megans Law,"600 Block Wood ST Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-79.99942351,40.44209205
255,1975480,16165898,42,M,W,2016-09-03T02:32:00,"Forbes AV & Atwood ST Pittsburgh, PA 15213",2702 Aggravated Assault. / 2706 Terroristic Threats.,"Forbes AV & Atwood ST Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.95762583,40.44109003
256,1974837,16153724,26,M,B,2016-08-17T03:46:00,"North Shore DR & Tony Dorsett DR Pittsburgh, PA 15212",3701 Robbery.,"500 Block Market ST Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-80.00203404,40.44137448
257,1974880,16154835,25,M,B,2016-08-28T17:10:00,"1600 Block Sandusky CT Pittsburgh, PA 15212",2701 Simple Assault. / 3701 Robbery. / 5503 Disorderly Conduct. / 2709 Harassment (Non-Specific),"7300 Block Butler ST Pittsburgh, PA 15206",Morningside,5,1014,7,2,-79.92134431,40.48793171
258,1974915,16155372,33,M,A,2016-08-19T12:10:00,"1100 Block Creedmoor AV Pittsburgh, PA 15226",13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance,"1100 Block Creedmoor AV Pittsburgh, PA 15226",Brookline,6,1918,4,5,-80.01518318,40.39095407
259,1974985,16155357,31,F,W,2016-08-19T12:30:00,"East Ohio ST & Cedar AV Pittsburgh, PA 15212",13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,"East Ohio ST & Cedar AV Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00169385,40.45331224
260,1974988,16155845,,F,B,2016-08-20T01:13:00,"Chartiers AV & Universal ST Pittsburgh, PA 15204",5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct.,"Chartiers AV & Universal ST Pittsburgh, PA 15204",Sheraden,6,2022,2,5,-80.06077939,40.45370092
261,1974991,16155880,29,M,B,2016-08-20T02:05:00,"30th ST & Bigelow BL Pittsburgh, PA 15219",9501 Bench Warrant,"30th ST & Bigelow BL Pittsburgh, PA 15219",Polish Hill,2,605,7,3,-79.96845399,40.45494905
